current_status,status_count
Delivered,181987
NULL,5167
"Votre colis est livré dans votre boite aux lettres.",2984
"Left JFK airport",1563
"Out for Delivery",1461
"In Transit",1065
"Votre colis est livré.",955
"Received at JFK HUB",802
SHIPPED,604
"Secure delivery (Enclosed porch)",541
"Electronic information submitted by shipper",418
"In Transit to ",415
"DOCUMENTATION COMPLETE",331
"Item processed",324
"Data Received by US Carrier",318
"Shipment Information Received",291
"Order received",291
"Shipment received at originating postal facility",266
"Gateway transit in",254
"Votre colis est livré à votre gardien.",249
"In Transit to Canada Sort Facility",230
"Item in transit",212
"Departed Asendia facility",209
"Shipment in Transit with Asendia to Processing",179
"Shipment in Transit to the ePost Global Processing Center",178
"Parcel processed at the depot",170
"Arrival scan",168
"Secure delivery (Back door)",147
"Secure delivery (Parcel box)",133
"Item arrived",129
"Delayed in Transit beyond our control",129
"Notice card left indicating where and when to pick up item",120
"Arrived at sort facility",118
"Clearance processing completed - Import",110
"Shipment Received, Package Acceptance Pending",106
"Arrived at Canada Sorting Facility",105
"The instruction data for this shipment have been provided by the sender to DHL electronically",102
"Your parcel has been abandoned",87
"The recipient has picked up the shipment from the PACKSTATION",82
"Item departed",81
"Parcel processed at the hub",79
"Departed UPS Facility",75
"Departed from Facility",72
"Votre Colissimo va bientôt nous être confié ! Il est en cours de préparation chez votre expéditeur.",72
"In customs authorities",59
"Votre colis est en transit sur nos plateformes logistiques.",57
"Arrived at Facility",56
"Moving Through Network",55
"The parcel has left the parcel center.",55
"Package delivered by local post office ",54
"The shipment has been processed in the parcel center of origin",53
"Shipment departed from country of origin",53
"EN ROUTE BETWEEN BRANCH OFFICES",51
"Final Notice; Item will be returned to sender if not collected within 10 days",48
"Shipment arrived at country of destination",48
"Transport to delivery centre",47
"Loaded to movement / tour vehicle",46
"Processed in facility",46
"RECEIVED AT DP HUB",45
"Expected delivery date updated",44
Accepted,44
"Returned to Shipper from Sort Facility",44
"Attempted Delivery",44
"Shipment address verification processed",41
"Arrived at Destination Delivery Office",41
"Gateway transit out",40
"Delivered to local carrier",38
"Votre colis est dans le site de livraison qui dessert votre adresse. Nous le préparons pour le mettre en livraison.",38
"Held for consignee collection",38
"Secure delivery - To neighbour",37
"Votre Colissimo est en cours de traitement sur le site de tri local.",37
"Refunded to seller",36
"DATA RECEIVED",35
"Package is undeliverable to Customer",35
"Redelivery Scheduled for Next Business Day",34
"Object forwarded to",34
"Returned to Shipper",31
"The item was successfully returned to the sender.",30
"Shipper created a label, UPS has not received the package yet. ",29
"In Customs",29
"The shipment has been processed in the destination parcel center",29
"Handled by local carrier",28
"On Its Way to USPS",27
"DEPOT EXIT",27
"Returned to Destination Hub",27
"Delivery Recorded at the Delivery Office",25
"Shipment Dispatched by US Carrier",25
"Parcel Received and Processing",25
"Returned (Refused item)",25
"Delivery - Proof of delivery",24
"Delivery attempt (addressee unknown)",24
"IN FOREING ROUTE",24
CANCELLED,24
"Item Collected",24
"TENDERED TO LOCAL CARRIER",23
"Processed by US Carrier",22
"DELIVERY ATTEMPT FAILED",21
"Delivery Attempted: No Access to Delivery Location",21
"Shipment dispatch completed",20
"ARRIVED IN COUNTRY",20
"Held by Brazilian Customs",20
"We were unable to deliver this parcel today unfortunately, this will be re-attempted within 24hours",20
ORDERED,19
"RETURNED TO LOCAL OFFICE",19
"In Transit to Next Facility, Arriving Late",18
"Courier to Reattempt - Unable to get within Geofence",17
"Out customs authorities",17
"Order information received",17
"DELIVERY COMPLETE",17
"Processing at UPS Facility",17
"Movement / tour vehicle arrived",16
"Awaiting Delivery",16
"Departure transit facility",16
"Forwarded to customs inspection",16
"The parcel has reached the parcel center.",16
"The recipient has picked up the shipment from the retail outlet.",15
"Misrouted in Transit",15
ENTREGADO,15
"The item is at customs",15
Departed,15
"Shipment Returned to Shipper",14
"Item out for delivery",14
"Shipment in transit to distribution center",14
"Parcel received at returns facility",14
"RECEIVED AT DEPOT",14
"Depature Scan: Enroute to USPS",14
"Terminal receiving delay ",14
"Out of Customs",13
"Arrived at Post Office",12
"ORDER CREATED",12
"Unloaded from movement / tour vehicle",12
"Shipping Label Created, USPS Awaiting Item",12
Received,12
"Customs Clearance",11
"Sorted by US Carrier",11
"Item re-routed due to processing error; Possible delay",11
"Undeliverable, address details incorrect",11
"Item available for pickup at Post Office",11
"Delivery failed",11
"Shipment dispatched by Asendia",10
"Parcel onboard courier vehicle for delivery",10
"Arrived at Canada Hub",10
"Picked Up By Shipping Partner, USPS Awaiting Item",10
Pre-Shipment,10
"Package lost in transit",10
"Received for shipping",10
"Delivered to post office box",10
"The courier hasn’t received this parcel, please allow 24hrs for the courier to receive it",9
"Arrived at transit facility",9
DELAYED,9
"Returned to Customer",9
"We have disposed of this parcel",9
"Dispatched by US Carrier",9
"Parcel arrived in destination country",9
"Object received in Brazil",9
"Departed Shipping Partner Facility, USPS Awaiting Item",9
"FINAL DELIVERY",8
"LOST IN TRANSIT DURING DELIVERY",8
"Return to sender warehouse",8
"Sending cancelled",8
"PENDING DUE TO BAD ADDRESS",8
"Local Collect collected from Post Office - No Fee Paid",8
"Undeliverable – Delivery Exception",7
"Scanned parcel processing delay",7
"Preparing for Delivery",7
"Lost by last mile",7
"Secure delivery (Car port)",7
"Attempted Delivery Abroad",7
"ETA of delivery",7
"Insufficient Address",7
"Shipment Delayed",7
"The parcel is stored in the parcel center.",7
"Pre-Shipment, USPS Awaiting Item",7
"Shipment sent directly from parcel center to business customer",7
"Parcel returned to the final mile carrier facility",6
"Parcel returned to warehouse",6
"Votre colis est disponible dans votre point de retrait pendant un délai de 15 jours calendaires. Ne tardez pas à aller le chercher ! Il vous sera remis sur présentation d'une pièce d'identité.",6
"Parcel unsafe to leave at address",6
"Parcel collected by carrier",6
"We've not been able to deliver today, we'll try on the next working day",6
"Failed delivery, retry later",6
"Shipment at delivery station",6
"Arrived Shipping Partner Facility, USPS Awaiting Item",6
"Arrived at USPS Regional Facility",6
"Departed from USA",6
"Nous sommes passés mais nous n'avons pu vous remettre votre colis. Il va être acheminé vers votre point de retrait.",6
"Parcel out for final mile carrier delivery",6
"Returned shipment has been received by processing center",6
"Votre colis ne peut être livré ce jour en raison d'une situation exceptionnelle indépendante de notre volonté. Il sera mis en livraison dans les prochains jours.",6
"Return has been processed at the  hub and will arrive at the nominated return address shortly",6
"Votre colis est livré à votre voisin. Son nom est indiqué sur l'avis déposé dans votre boîte aux lettres.",6
"Shipment Processed in Depot",5
