current_status,status_count
Delivered,181841
NULL,5165
"Votre colis est livré dans votre boite aux lettres.",2984
"Left JFK airport",1561
"Out for Delivery",1460
"In Transit",1064
"Votre colis est livré.",955
"Received at JFK HUB",797
SHIPPED,604
"Secure delivery (Enclosed porch)",541
"Electronic information submitted by shipper",418
"In Transit to ",413
"DOCUMENTATION COMPLETE",331
"Item processed",324
"Data Received by US Carrier",316
"Order received",291
"Shipment Information Received",291
"Shipment received at originating postal facility",266
"Gateway transit in",254
"Votre colis est livré à votre gardien.",249
"In Transit to Canada Sort Facility",230
"Item in transit",212
"Departed Asendia facility",209
"Shipment in Transit with Asendia to Processing",178
"Shipment in Transit to the ePost Global Processing Center",178
"Parcel processed at the depot",169
"Arrival scan",168
"Secure delivery (Back door)",147
"Secure delivery (Parcel box)",133
"Item arrived",129
"Delayed in Transit beyond our control",129
"Notice card left indicating where and when to pick up item",119
"Arrived at sort facility",118
"Clearance processing completed - Import",109
"Shipment Received, Package Acceptance Pending",106
"Arrived at Canada Sorting Facility",105
"The instruction data for this shipment have been provided by the sender to DHL electronically",102
"Your parcel has been abandoned",90
"The recipient has picked up the shipment from the PACKSTATION",82
"Item departed",81
"Parcel processed at the hub",79
"Departed UPS Facility",75
"Votre Colissimo va bientôt nous être confié ! Il est en cours de préparation chez votre expéditeur.",72
"Departed from Facility",72
"In customs authorities",59
"Arrived at Facility",56
"Moving Through Network",55
"The parcel has left the parcel center.",55
"Votre colis est en transit sur nos plateformes logistiques.",54
"Package delivered by local post office ",54
"Shipment departed from country of origin",53
"The shipment has been processed in the parcel center of origin",52
"EN ROUTE BETWEEN BRANCH OFFICES",51
"Shipment arrived at country of destination",48
"Transport to delivery centre",47
"Final Notice; Item will be returned to sender if not collected within 10 days",47
"RECEIVED AT DP HUB",45
"Processed in facility",45
Accepted,44
"Returned to Shipper from Sort Facility",44
"Attempted Delivery",44
"Expected delivery date updated",44
"Loaded to movement / tour vehicle",43
"Shipment address verification processed",41
"Arrived at Destination Delivery Office",41
"Gateway transit out",40
"Votre colis est dans le site de livraison qui dessert votre adresse. Nous le préparons pour le mettre en livraison.",37
"Votre Colissimo est en cours de traitement sur le site de tri local.",37
"Secure delivery - To neighbour",37
"Refunded to seller",36
"Delivered to local carrier",36
"DATA RECEIVED",35
"Package is undeliverable to Customer",35
"Object forwarded to",34
"Redelivery Scheduled for Next Business Day",34
"Held for consignee collection",32
"Returned to Shipper",31
"The item was successfully returned to the sender.",30
"In Customs",29
"Shipper created a label, UPS has not received the package yet. ",29
"Handled by local carrier",28
"The shipment has been processed in the destination parcel center",28
"On Its Way to USPS",27
"DEPOT EXIT",27
"Returned to Destination Hub",26
"Shipment Dispatched by US Carrier",25
"Parcel Received and Processing",25
"Returned (Refused item)",25
"Delivery Recorded at the Delivery Office",25
CANCELLED,24
"IN FOREING ROUTE",24
"Delivery attempt (addressee unknown)",24
"Item Collected",24
"Delivery - Proof of delivery",24
"TENDERED TO LOCAL CARRIER",23
"Processed by US Carrier",22
"Delivery Attempted: No Access to Delivery Location",21
"DELIVERY ATTEMPT FAILED",21
"Held by Brazilian Customs",20
"We were unable to deliver this parcel today unfortunately, this will be re-attempted within 24hours",20
"Shipment dispatch completed",20
"ARRIVED IN COUNTRY",20
ORDERED,19
"RETURNED TO LOCAL OFFICE",18
"In Transit to Next Facility, Arriving Late",18
"DELIVERY COMPLETE",17
"Processing at UPS Facility",17
"Out customs authorities",17
"Order information received",17
"Forwarded to customs inspection",16
"The parcel has reached the parcel center.",16
"Courier to Reattempt - Unable to get within Geofence",16
"Movement / tour vehicle arrived",16
"Awaiting Delivery",16
"Departure transit facility",16
ENTREGADO,15
"The item is at customs",15
Departed,15
"The recipient has picked up the shipment from the retail outlet.",15
"Misrouted in Transit",15
"Parcel received at returns facility",14
"Depature Scan: Enroute to USPS",14
"Returned shipment has been received by processing center",14
"Terminal receiving delay ",14
"Item out for delivery",14
"Shipment in transit to distribution center",14
"RECEIVED AT DEPOT",14
"Arrived at Post Office",13
"Out of Customs",13
"ORDER CREATED",12
"Unloaded from movement / tour vehicle",12
"Shipping Label Created, USPS Awaiting Item",12
Received,12
"Shipment Returned to Shipper",12
"Undeliverable, address details incorrect",11
"Item available for pickup at Post Office",11
"Delivery failed",11
"Sorted by US Carrier",11
"Item re-routed due to processing error; Possible delay",11
"Arrived at Canada Hub",10
"Picked Up By Shipping Partner, USPS Awaiting Item",10
Pre-Shipment,10
"Package lost in transit",10
"Delivered to post office box",10
"Received for shipping",10
"Shipment dispatched by Asendia",10
"Customs Clearance",10
"Parcel onboard courier vehicle for delivery",10
"Dispatched by US Carrier",9
"Object received in Brazil",9
"Parcel arrived in destination country",9
"Departed Shipping Partner Facility, USPS Awaiting Item",9
"The courier hasn’t received this parcel, please allow 24hrs for the courier to receive it",9
DELAYED,9
"Arrived at transit facility",9
"Returned to Customer",9
"FINAL DELIVERY",8
"ETA of delivery",8
"LOST IN TRANSIT DURING DELIVERY",8
"Return to sender warehouse",8
"Sending cancelled",8
"Local Collect collected from Post Office - No Fee Paid",8
"PENDING DUE TO BAD ADDRESS",8
"We have disposed of this parcel",8
"Attempted Delivery Abroad",7
"Insufficient Address",7
"Votre colis ne peut être livré ce jour en raison d'une situation exceptionnelle indépendante de notre volonté. Il sera mis en livraison dans les prochains jours.",7
"Pre-Shipment, USPS Awaiting Item",7
"The parcel is stored in the parcel center.",7
"Lost by last mile",7
"Secure delivery (Car port)",7
"Parcel unsafe to leave at address",6
"We've not been able to deliver today, we'll try on the next working day",6
"Parcel collected by carrier",6
"Failed delivery, retry later",6
"Nous sommes passés mais nous n'avons pu vous remettre votre colis. Il va être acheminé vers votre point de retrait.",6
"Shipment at delivery station",6
"Arrived Shipping Partner Facility, USPS Awaiting Item",6
"Arrived at USPS Regional Facility",6
"Departed from USA",6
"Votre colis est livré à votre voisin. Son nom est indiqué sur l'avis déposé dans votre boîte aux lettres.",6
"Parcel out for final mile carrier delivery",6
"Undeliverable – Delivery Exception",6
"Scanned parcel processing delay",6
"Votre colis est sur son site de distribution. Nous le préparons pour le mettre en livraison.",6
"Parcel returned to warehouse",6
"Votre colis est disponible dans votre point de retrait pendant un délai de 15 jours calendaires. Ne tardez pas à aller le chercher ! Il vous sera remis sur présentation d'une pièce d'identité.",6
"Parcel returned to the final mile carrier facility",6
"Preparing for Delivery",6
"The receiving business was closed and delivery has been rescheduled for the next business day.",5
"Shipment Delayed",5
"Taxes and duties paid to postman/postoffice",5
"Package picked-up by agent at post office",5
"Returned (incorrect address)",5
"Parcel Processed at Carrier Terminal",5
"Undeliverable - Return to Sender",5
"Forwarded to",5
"Loaded on Truck",5
"Check-in Asendia facility",5
"Received in Distribution Center/HUB",5
"Parcel in transit with the final mile carrier",5
"Bad delivery address",5
"Arrived at USPS Facility",5
"Arrived at delivery centre",5
"Shipment Processed in Depot",5
"The shipment has been loaded onto the delivery vehicle",5
Drop-Off,5
"RETURNED TO HE",5
"Package processed",4
"Batch Processed at Origin Hub",4
"Shipment returned to Laredo,TX hub",4
"Returned at Warehous",4
"Signature Obtained",4
"Shipment sent directly from parcel center to business customer",4
"Votre colis est livré à son expéditeur à la suite d'un retour.",4
"Transshipment completed",4
"Unable to Deliver due to PO Box",4
"Shipment Information Entered or Received",4
"We're unable to deliver this parcel today. We will now deliver the next working day",4
"Not delivered",4
"Delivery Not Completed",4
"Left securely in outbuilding",4
"Parcel in transit",4
Undeliverable,4
"This parcel is on its way to the courier",4
"Arrived at Terminal Location",4
"Available at pick-up point",4
"Item Collected - from SPS site",4
"Shipment information sent to FedEx",4
"Process incident or held by carrier",4
"Return to Sender",4
"Shipment Departed Origin Country",4
"Exception hold-Return to shipper",3
"Not received by last mile",3
"The recipient has selected a Packstation as the new delivery address.",3
"Item redirected to recipient's new address",3
"Votre colis n'a pas pu vous être remis. Il sera mis en livraison demain (hors dimanche et jours fériés).",3
"Mis routed",3
"Delivery delayed to next business day",3
"Voided Information Received ",3
Pre-advice,3
"Parcel departed origin country",3
"Delivery Attempt",3
"Customs cleared",3
